Counter,Date/time,Latitude,Longitude,Mag_x,Mag_y,Mag_z,Label1,Label2
131,2022-04-21 06:13:05.072069,47.02492246920941,13.594407338657005,11.730245590209961,-10.960865020751953,26.117355346679688,light,sea
132,2022-04-21 06:13:21.292244,47.45669899915847,14.930164946800927,11.561345100402832,-10.733028411865234,26.432527542114258,light,sea
133,2022-04-21 06:13:37.504134,47.871452192442426,16.29006472678214,11.269719123840332,-10.688472747802734,26.927907943725586,light,sea
134,2022-04-21 06:13:53.747609,48.26797396868374,17.671680861194385,11.082759857177734,-10.58044719696045,26.95526123046875,light,sea
135,2022-04-21 06:14:09.932426,48.64666331501868,19.07806143027119,10.860875129699707,-10.58608627319336,27.169918060302734,light,sea
136,2022-04-21 06:14:26.130580,49.004939943909484,20.500861158130782,10.616477012634277,-10.494094848632812,27.403289794921875,light,sea
137,2022-04-21 06:14:42.299488,49.34397183236471,21.945775190097702,10.366106986999512,-10.36961555480957,27.588436126708984,light,other
138,2022-04-21 06:14:58.475325,49.662389983094876,23.408270321849436,10.233644485473633,-10.219267845153809,27.889028549194336,light,sea
139,2022-04-21 06:15:14.641146,49.96046850846845,24.89082036517769,9.915254592895508,-10.144657135009766,28.253101348876953,light,other
140,2022-04-21 06:15:30.789569,50.23743095089021,26.390965667327073,9.675472259521484,-10.046926498413086,28.550579071044922,light,other
141,2022-04-21 06:15:46.981036,50.49275795932489,27.906978138066663,9.345483779907227,-9.992294311523438,28.777360916137695,light,other
142,2022-04-21 06:16:03.145808,50.72691783048296,29.443381101468102,9.199576377868652,-9.975419998168945,29.13657569885254,light,other
143,2022-04-21 06:16:19.325798,50.93851743927393,30.992692646296614,8.943181037902832,-9.928228378295898,29.278778076171875,light,other
144,2022-04-21 06:16:35.528281,51.127713606342844,32.55727431853532,8.73897647857666,-9.932670593261719,29.70531463623047,light,other
145,2022-04-21 06:16:51.721322,51.29419482116461,34.13660538349973,8.508172988891602,-9.812435150146484,29.86269760131836,light,other
146,2022-04-21 06:17:07.912798,51.43730329182854,35.72608619081818,8.239764213562012,-9.777676582336426,30.0684757232666,light,other
147,2022-04-21 06:17:24.098882,51.5568705357509,37.32491694979957,8.035674095153809,-9.939340591430664,30.34526252746582,light,sea
148,2022-04-21 06:17:40.278491,51.652660306790295,38.93105768575953,7.844042778015137,-10.008781433105469,30.513931274414062,light,sea
149,2022-04-21 06:17:56.495543,51.72451357447103,40.542703144049504,7.679843902587891,-10.04493522644043,30.28422737121582,light,sea
150,2022-04-21 06:18:12.699426,51.77242146899635,42.16252288661348,7.1850128173828125,-10.081965446472168,30.714481353759766,light,sea
151,2022-04-21 06:18:28.872666,51.79608844908861,43.78365345688504,6.958198070526123,-10.049359321594238,31.124778747558594,light,other
152,2022-04-21 06:18:45.033895,51.79554330654964,45.40255002035438,6.805330276489258,-10.089637756347656,31.46236801147461,light,other
153,2022-04-21 06:19:01.202673,51.77088275408648,47.01929819513802,6.6480255126953125,-10.023589134216309,31.913082122802734,light,other
154,2022-04-21 06:19:17.372677,51.722134996854976,48.63405197051918,6.418360710144043,-10.070014953613281,32.109344482421875,light,other
155,2022-04-21 06:19:33.546946,51.649393847338494,50.2444011329909,6.192484378814697,-10.127642631530762,32.2740592956543,light,other
156,2022-04-21 06:19:49.689175,51.55277222669752,51.8489174098907,5.920222282409668,-10.144801139831543,32.35516357421875,light,other
157,2022-04-21 06:20:05.844098,51.43280784193358,53.44139906231164,5.835336685180664,-10.14601993560791,32.66087341308594,light,other
158,2022-04-21 06:20:22.027142,51.28920100268181,55.027463290433445,5.362582683563232,-10.177053451538086,32.74290466308594,light,other
159,2022-04-21 06:20:38.175339,51.12222352029393,56.60421567918464,5.067513465881348,-10.121648788452148,32.83182907104492,light,other
160,2022-04-21 06:20:54.326745,50.93276386257965,58.164983254142534,4.80279016494751,-10.202881813049316,33.12472152709961,light,sea
161,2022-04-21 06:21:10.481984,50.72077772362198,59.712101504540335,4.434711933135986,-10.218652725219727,33.392696380615234,light,other
162,2022-04-21 06:21:26.635154,50.4866106131407,61.24432507604359,4.236678600311279,-10.240594863891602,33.56351852416992,light,other
163,2022-04-21 06:21:42.801157,50.230741282834614,62.75990070729224,3.9325482845306396,-10.388129234313965,33.575801849365234,light,other
164,2022-04-21 06:21:59.006821,49.95333768221884,64.25910916876154,3.6571104526519775,-10.513936042785645,33.923519134521484,light,other
165,2022-04-21 06:22:15.174337,49.6542863004745,65.74335729144353,3.4295525550842285,-10.545592308044434,34.09502410888672,light,other
166,2022-04-21 06:22:31.345492,49.33548870800432,67.20463776214577,3.009366750717163,-10.639970779418945,34.01731872558594,light,other
167,2022-04-21 06:22:47.524300,48.996936078112064,68.64493358369712,2.4676201343536377,-10.621756553649902,33.95466995239258,light,other
168,2022-04-21 06:23:03.740405,48.638227798624904,70.06717892985297,2.017777919769287,-10.79713249206543,34.44129180908203,light,other
169,2022-04-21 06:23:19.931256,48.25997458565999,71.46991573632057,1.5108929872512817,-10.826375961303711,34.46535873413086,light,other
170,2022-04-21 06:23:36.152158,47.863761665166976,72.84872566975771,1.1060603857040405,-10.875650405883789,34.55165481567383,light,other
171,2022-04-21 06:23:52.359720,47.448865966872575,74.20754720381147,0.7236431241035461,-11.103484153747559,34.448997497558594,light,other
172,2022-04-21 06:24:08.538985,47.01686429898751,75.54256880776762,0.2813152074813843,-11.196537017822266,34.739410400390625,light,other
173,2022-04-21 06:24:24.738431,46.56875426324789,76.85245672932535,-0.15911559760570526,-11.22420883178711,34.74838638305664,light,other
174,2022-04-21 06:24:40.938979,46.103738763481836,78.1410405967085,-0.6429024934768677,-11.315727233886719,34.66494369506836,light,other
175,2022-04-21 06:24:57.132292,45.62286306064889,79.40672351304525,-1.0923515558242798,-11.447311401367188,34.59968566894531,light,other
176,2022-04-21 06:25:13.297500,45.12690493883282,80.64891299294987,-1.6626832485198975,-11.651070594787598,34.51849365234375,light,sea
177,2022-04-21 06:25:29.474591,44.61706897677099,81.86618717111196,-2.0759294033050537,-11.825573921203613,34.48570251464844,light,other
178,2022-04-21 06:25:45.657234,44.092623410355976,83.06175496353879,-2.5116043090820312,-12.030158996582031,34.596073150634766,light,other
179,2022-04-21 06:26:01.830757,43.554253408732215,84.23531949014443,-3.7738473415374756,-11.986754417419434,34.65184020996094,light,other
180,2022-04-21 06:26:18.026176,43.00294010747932,85.38608946734574,-4.079697608947754,-11.911763191223145,34.49386215209961,light,other
181,2022-04-21 06:26:34.203112,42.43809318230484,86.51654592212032,-4.313078880310059,-12.060476303100586,34.35753631591797,light,other
182,2022-04-21 06:26:50.370814,41.861587539580434,87.62420176674873,-4.706862926483154,-12.03531551361084,34.29505920410156,light,other
183,2022-04-21 06:27:06.533503,41.27357219882958,88.71013641197746,-5.027883529663086,-12.176217079162598,34.14153289794922,light,other
184,2022-04-21 06:27:22.716248,40.67436771211785,89.77503463106437,-5.593347072601318,-12.32498550415039,33.95872116088867,light,other
185,2022-04-21 06:27:38.905438,40.063445891335775,90.8209708980819,-6.17101526260376,-12.547670364379883,33.907691955566406,light,other
186,2022-04-21 06:27:55.071800,39.44172733869061,91.8474378485615,-6.787336826324463,-12.739359855651855,33.55302810668945,light,other
187,2022-04-21 06:28:11.232748,38.81075055631889,92.85308482767554,-7.337740898132324,-12.944087028503418,33.34395217895508,light,other
188,2022-04-21 06:28:27.387214,38.17065637380761,93.83891201390136,-7.837155818939209,-13.275579452514648,32.95136260986328,light,other
189,2022-04-21 06:28:43.586025,37.52070909378724,94.80712922338326,-8.078710556030273,-13.463006973266602,32.64965057373047,light,other
190,2022-04-21 06:28:59.764182,36.860364085459885,95.75944839318342,-8.527294158935547,-13.645343780517578,32.337501525878906,light,other
191,2022-04-21 06:29:15.944311,36.19222523768246,96.693087228691,-9.13986873626709,-13.88264274597168,32.072513580322266,light,other
192,2022-04-21 06:29:32.114762,35.51571767438722,97.60988325503835,-9.728496551513672,-14.167348861694336,31.65574073791504,light,other
193,2022-04-21 06:29:48.291264,34.83166966945633,98.50968630600102,-10.264492988586426,-14.166899681091309,31.156963348388672,light,other
194,2022-04-21 06:30:04.458000,34.13974365753271,99.39387309004725,-10.769811630249023,-14.28459644317627,30.52559471130371,light,other
195,2022-04-21 06:30:20.654884,33.44092637059786,100.26208579778678,-11.342413902282715,-14.299915313720703,30.617292404174805,light,other
196,2022-04-21 06:30:36.858958,32.73378064672135,101.11693253233666,-11.891793251037598,-14.454377174377441,29.860158920288086,light,other
197,2022-04-21 06:30:53.031929,32.019582108646745,101.95763394996105,-12.327544212341309,-14.519625663757324,29.17458724975586,light,other
198,2022-04-21 06:31:09.213486,31.30039727792927,102.78262647545046,-12.982486724853516,-14.695985794067383,28.788677215576172,light,other
199,2022-04-21 06:31:25.391759,30.574481977496834,103.5947408473429,-13.351702690124512,-15.005281448364258,28.02996253967285,light,sea
200,2022-04-21 06:31:41.575709,29.84288159827793,104.39355724761643,-13.756488800048828,-15.17446231842041,27.830421447753906,light,sea
201,2022-04-21 06:31:57.752248,29.105360346741165,105.18007214085526,-14.259353637695312,-15.385114669799805,27.25827980041504,light,other
202,2022-04-21 06:32:13.943589,28.362789182254534,105.95407706237769,-14.725526809692383,-15.732419967651367,26.323509216308594,light,other
203,2022-04-21 06:32:30.145937,27.614481191562632,106.71697606642904,-15.172998428344727,-15.835269927978516,25.706653594970703,light,other
204,2022-04-21 06:32:46.323491,26.860371046972055,107.4694631042353,-15.765251159667969,-15.936347961425781,25.04531478881836,light,other
205,2022-04-21 06:33:02.493819,26.10321293295055,108.20946904142191,-16.149070739746094,-16.174556732177734,24.45866584777832,light,other
206,2022-04-21 06:33:18.632049,25.341318910657034,108.9393199858255,-16.627914428710938,-16.326539993286133,23.77670669555664,light,other
207,2022-04-21 06:33:34.805852,24.576628061625144,109.65780510393635,-17.097810745239258,-16.391252517700195,22.970142364501953,light,other
208,2022-04-21 06:33:50.994165,23.806317740087827,110.36816906946379,-17.5754451751709,-16.62103843688965,22.313013076782227,light,other
209,2022-04-21 06:34:07.203186,23.03138272373474,111.07001348252687,-17.95244026184082,-16.795230865478516,21.736133575439453,light,other
210,2022-04-21 06:34:23.380237,22.25170090461326,111.76396885992253,-18.556610107421875,-16.820432662963867,21.564029693603516,light,other
211,2022-04-21 06:34:39.548369,21.46999306500197,112.44817036704815,-19.06259536743164,-16.96315574645996,20.82607650756836,light,other
212,2022-04-21 06:34:55.716118,20.685316443325668,113.12401408841299,-19.42749786376953,-17.152849197387695,19.858154296875,light,other
